Country Name,Payout,Impressions,Ad Server Requests,Ad Server Fill Rate,Ecpm Payout,Clicks,Ctr
United States,409.0147693491971,1207807,3391600,92.44604316546763,0.33864248952787745,137,0.011342871832999809
Canada,32.910882227852255,254700,656600,65.1538227231191,0.1292143000700913,27,0.01060070671378092
Germany,27.02248643304337,247302,1634000,32.75397796817626,0.10926917870879883,106,0.04286257288659211
Netherlands,13.510896758737175,145697,1035000,27.091787439613523,0.09273284116170666,27,0.01853161012237726
Japan,13.21948568134765,171492,956200,61.30516628320435,0.07708514497088872,31,0.018076644974692697
France,11.457529666934537,154439,1146000,27.137870855148343,0.07418805914914327,60,0.038850290405920786
Switzerland,10.451861426675636,73779,348200,51.23492245835727,0.1416644495950831,26,0.03524038005394489
Italy,8.024223812595716,150407,726200,31.36876893417791,0.05335006889703083,35,0.023270193541523997
"Korea, Republic of",7.0824578440866075,84500,515600,38.90612878200155,0.08381606916078826,14,0.016568047337278107
Spain,7.051253635733217,79117,430000,33.58139534883721,0.08912438079974237,52,0.06572544459471416
Brazil,4.962709545698311,122799,408200,52.425281724644776,0.04041327328152762,38,0.030944877401281767
United Kingdom,4.576874689633001,41886,378600,27.152667723190703,0.10926979634324119,33,0.07878527431600058
Australia,4.4158451840793065,24829,134200,55.439642324888226,0.1778503034386929,5,0.02013774215634943
Mexico,4.187545776697001,49799,200000,46.2,0.08408895312550455,16,0.032129159220064665
Vietnam,3.5062089747160003,46815,188600,50.37115588547189,0.07489499038162983,20,0.04272134999465983
Belgium,2.856494603207392,43546,394400,28.955375253549697,0.06559717547438093,44,0.10104257566711063
Taiwan,2.5756146832438516,34977,829200,7.935359382537385,0.07363738122891761,14,0.04002630299911371
Poland,2.468169842435476,51928,564200,14.781992201347041,0.04753061628476884,13,0.025034663380064704
Czech Republic,1.945913624451566,22163,290400,14.87603305785124,0.08780010036780067,9,0.040608220908721744
Portugal,1.859278644625,22659,44200,68.32579185520362,0.08205475284103446,11,0.048545831678361795
Austria,1.6318570794452314,25114,193200,32.40165631469979,0.06497798357271767,10,0.039818427968463806
Thailand,1.567453370195602,28357,196400,26.883910386965375,0.055275712176732446,12,0.04231759353951405
Malaysia,1.325304002179,14924,71200,39.325842696629216,0.08880353807149557,13,0.08710801393728224
Indonesia,1.265861448905,18834,136000,25.294117647058822,0.06721150307449295,11,0.0584050122119571
Slovakia,1.0302708672222556,11044,148000,10.81081081081081,0.0932878365829641,64,0.5795001810938066
Denmark,1.002345195535,11695,282800,10.961810466760962,0.08570715652287303,7,0.059854638734501926
Ireland,0.9672361744792344,18262,129400,22.874806800618238,0.05296441651950686,6,0.032855108969444755
Colombia,0.7538541014429998,11490,78000,21.53846153846154,0.06560958237101826,7,0.06092254134029591
Hong Kong,0.653894507875894,9435,91200,21.052631578947366,0.06930519426347578,5,0.052994170641229466
Argentina,0.6510960603100001,11476,83600,20.334928229665074,0.05673545314656676,8,0.06971070059254096
Singapore,0.6425618269760002,9055,50200,39.04382470119522,0.07096210126736612,2,0.022087244616234125
Saudi Arabia,0.636906054026,5388,55600,30.575539568345324,0.11820825056161842,1,0.01855976243504083
Sweden,0.6310354510709998,11542,208600,13.998082454458293,0.054672972714520866,5,0.04332004851845434
Finland,0.6287656658495517,13023,224200,11.329170383586083,0.0482811691506989,20,0.15357444521231667
Morocco,0.5267771955840002,5449,58600,17.747440273037544,0.09667410453000554,7,0.1284639383373096
Norway,0.4995548205119999,5335,87600,10.95890410958904,0.09363726719999999,15,0.28116213683223995
Latvia,0.416891715232,5261,32000,22.5,0.0792419150792625,4,0.07603117278084015
Israel,0.3905036971400001,5877,85400,9.601873536299765,0.0664460944597584,2,0.03403096818104475
South Africa,0.3703343393660001,5243,26400,29.545454545454547,0.07063405290215527,0,0.0
India,0.32650870870500004,5710,37600,22.872340425531913,0.05718191045621717,3,0.05253940455341507
Chile,0.322784333596,4989,22600,38.93805309734513,0.0646992049701343,0,0.0
Kazakhstan,0.28668145453800004,1549,7400,24.324324324324326,0.1850751804635249,0,0.0
Egypt,0.224816414972,4039,52200,16.091954022988507,0.05566140504382273,1,0.02475860361475613
Philippines,0.20771151747099997,2748,24200,20.66115702479339,0.07558643284970887,1,0.0363901018922853
Peru,0.20506436202899997,3346,33600,34.523809523809526,0.06128642021189479,3,0.08965929468021519
United Arab Emirates,0.148404883125,1642,8000,52.5,0.0903805621954933,0,0.0
Lithuania,0.139472632107,2256,30200,11.920529801324504,0.061822975224734046,0,0.0
New Zealand,0.1389687852,1226,19400,18.556701030927837,0.11335137455138664,2,0.1631321370309951
Ukraine,0.100882814744,2472,23400,16.23931623931624,0.04081020013915858,1,0.04045307443365696
Qatar,0.09994462818300004,1650,15000,21.333333333333336,0.06057250192909093,0,0.0
Kuwait,0.09800806972100001,633,5400,29.629629629629626,0.15483107380884678,0,0.0
Puerto Rico,0.094204073232,1058,17000,10.588235294117647,0.0890397667599244,3,0.28355387523629494
Iraq,0.09067928022499999,960,23200,6.0344827586206895,0.09445758356770832,3,0.3125
Turkey,0.08609390927700002,1862,12800,9.375,0.04623733043877552,1,0.05370569280343716
Palestinian Territory,0.07700900261099997,518,6400,6.25,0.14866602820656366,0,0.0
Jordan,0.07166433144399997,2157,30600,6.535947712418301,0.03322407577375984,0,0.0
Oman,0.069157810436,454,9000,8.88888888888889,0.1523299789339207,0,0.0
Uzbekistan,0.056922426703000004,824,4000,40.0,0.06908061493082525,0,0.0
Romania,0.052490365282000004,1400,27800,10.79136690647482,0.03749311805857143,1,0.07142857142857142
